Messpunkt;Ist-Temp.;Heizkreislauf;Pumpenleistung
01.01.2010 02:34;60,43 °C;H1;737 l/min
01.01.2010 02:36;67,42 °C;H3;882 l/min
01.01.2010 02:38;64,34 °C;H2;1.016 l/min
01.01.2010 02:40;56,33 °C;H2;759 l/min
01.01.2010 02:42;57,70 °C;H3;954 l/min
01.01.2010 02:44;68,07 °C;H2;814 l/min
01.01.2010 02:46;60,42 °C;H3;490 l/min
01.01.2010 02:48;51,53 °C;H2;1.212 l/min
01.01.2010 02:50;61,56 °C;H2;1.214 l/min
01.01.2010 02:52;52,90 °C;H2;392 l/min
01.01.2010 02:54;65,61 °C;H3;305 l/min
01.01.2010 02:56;61,91 °C;H2;931 l/min
01.01.2010 02:58;56,08 °C;H2;1.140 l/min
01.01.2010 03:00;57,70 °C;H1;948 l/min
01.01.2010 03:02;54,39 °C;H1;591 l/min
01.01.2010 03:04;66,02 °C;H3;1.244 l/min
01.01.2010 03:06;55,24 °C;H2;338 l/min
01.01.2010 03:08;69,01 °C;H2;859 l/min
01.01.2010 03:10;63,86 °C;H1;662 l/min
01.01.2010 03:12;54,47 °C;H3;644 l/min
01.01.2010 03:14;67,67 °C;H2;302 l/min
01.01.2010 03:16;53,99 °C;H3;699 l/min
01.01.2010 03:18;68,42 °C;H3;367 l/min
01.01.2010 03:19;57,11 °C;H3;551 l/min
01.01.2010 03:21;67,85 °C;H1;327 l/min
01.01.2010 03:23;64,08 °C;H3;314 l/min
01.01.2010 03:25;51,09 °C;H1;863 l/min
01.01.2010 03:27;54,46 °C;H1;736 l/min
01.01.2010 03:29;55,36 °C;H3;898 l/min
01.01.2010 03:31;52,95 °C;H2;523 l/min
01.01.2010 03:33;58,14 °C;H3;462 l/min
01.01.2010 03:35;58,87 °C;H1;673 l/min
01.01.2010 03:37;55,70 °C;H1;498 l/min
01.01.2010 03:39;67,89 °C;H1;791 l/min
01.01.2010 03:41;68,53 °C;H2;311 l/min
01.01.2010 03:43;62,58 °C;H2;368 l/min
01.01.2010 03:45;67,02 °C;H2;677 l/min
01.01.2010 03:47;53,92 °C;H2;623 l/min
01.01.2010 03:49;57,30 °C;H1;975 l/min
01.01.2010 03:51;55,89 °C;H1;1.078 l/min
01.01.2010 03:53;56,19 °C;H2;755 l/min
01.01.2010 03:55;54,68 °C;H3;534 l/min
01.01.2010 03:57;54,78 °C;H1;433 l/min
01.01.2010 03:59;67,41 °C;H1;1.049 l/min
01.01.2010 04:01;69,79 °C;H1;601 l/min
01.01.2010 04:03;57,66 °C;H3;418 l/min
01.01.2010 04:05;68,50 °C;H2;1.173 l/min
01.01.2010 04:07;56,67 °C;H1;525 l/min
01.01.2010 04:09;65,56 °C;H3;740 l/min
01.01.2010 04:11;60,80 °C;H1;353 l/min
01.01.2010 04:13;55,11 °C;H2;581 l/min
01.01.2010 04:15;67,38 °C;H1;897 l/min
01.01.2010 04:17;54,45 °C;H3;1.206 l/min
01.01.2010 04:19;65,41 °C;H1;876 l/min
01.01.2010 04:21;61,20 °C;H1;710 l/min
01.01.2010 04:23;62,34 °C;H3;673 l/min
01.01.2010 04:25;68,17 °C;H3;453 l/min
01.01.2010 04:27;55,87 °C;H1;1.284 l/min
01.01.2010 04:29;55,23 °C;H1;558 l/min
01.01.2010 04:31;53,84 °C;H1;314 l/min
01.01.2010 04:33;52,95 °C;H3;559 l/min
01.01.2010 04:35;69,59 °C;H2;1.174 l/min
01.01.2010 04:37;58,20 °C;H3;1.168 l/min
01.01.2010 04:39;53,88 °C;H3;721 l/min
01.01.2010 04:41;58,59 °C;H1;813 l/min
01.01.2010 04:43;68,67 °C;H3;356 l/min
01.01.2010 04:45;63,85 °C;H2;1.205 l/min
01.01.2010 04:47;52,14 °C;H1;943 l/min
01.01.2010 04:49;51,87 °C;H1;828 l/min
01.01.2010 04:51;69,63 °C;H2;911 l/min
01.01.2010 04:53;57,60 °C;H1;1.268 l/min
01.01.2010 04:55;69,70 °C;H2;713 l/min
01.01.2010 04:57;59,28 °C;H3;1.289 l/min
01.01.2010 04:59;56,20 °C;H3;652 l/min
01.01.2010 05:01;61,16 °C;H2;1.145 l/min
01.01.2010 05:03;69,50 °C;H1;973 l/min
01.01.2010 05:05;69,60 °C;H1;1.267 l/min
01.01.2010 05:07;64,02 °C;H3;310 l/min
01.01.2010 05:09;68,11 °C;H3;573 l/min
01.01.2010 05:11;67,47 °C;H3;684 l/min
01.01.2010 05:13;59,71 °C;H1;559 l/min
01.01.2010 05:15;53,33 °C;H2;839 l/min
01.01.2010 05:17;50,72 °C;H2;1.113 l/min
01.01.2010 05:19;62,98 °C;H1;832 l/min
01.01.2010 05:21;53,53 °C;H2;834 l/min
01.01.2010 05:23;57,10 °C;H2;1.140 l/min
01.01.2010 05:25;51,77 °C;H3;1.273 l/min
01.01.2010 05:27;64,45 °C;H2;1.250 l/min
01.01.2010 05:29;64,81 °C;H1;842 l/min
01.01.2010 05:31;63,66 °C;H1;352 l/min
01.01.2010 05:33;67,65 °C;H3;593 l/min
01.01.2010 05:35;62,04 °C;H2;392 l/min
01.01.2010 05:37;68,02 °C;H3;839 l/min
01.01.2010 05:39;54,03 °C;H2;1.252 l/min
01.01.2010 05:41;64,28 °C;H3;1.115 l/min
01.01.2010 05:43;65,01 °C;H3;1.148 l/min
01.01.2010 05:45;68,93 °C;H3;1.072 l/min
01.01.2010 05:47;55,19 °C;H1;1.143 l/min
01.01.2010 05:49;62,73 °C;H3;765 l/min
01.01.2010 05:51;58,11 °C;H3;1.118 l/min
01.01.2010 05:53;66,20 °C;H2;818 l/min
01.01.2010 05:55;51,84 °C;H1;1.092 l/min
01.01.2010 05:57;60,27 °C;H3;1.163 l/min
01.01.2010 05:59;50,81 °C;H1;927 l/min
01.01.2010 06:01;51,54 °C;H1;570 l/min
01.01.2010 06:03;59,62 °C;H3;1.178 l/min
01.01.2010 06:05;52,45 °C;H1;384 l/min
01.01.2010 06:07;68,16 °C;H1;1.215 l/min
01.01.2010 06:09;59,00 °C;H3;1.143 l/min
01.01.2010 06:11;63,66 °C;H1;510 l/min
01.01.2010 06:13;67,81 °C;H1;1.046 l/min
01.01.2010 06:15;50,62 °C;H2;1.056 l/min
01.01.2010 06:17;52,10 °C;H2;1.046 l/min
01.01.2010 06:19;63,83 °C;H3;455 l/min
01.01.2010 06:21;65,67 °C;H2;1.256 l/min
01.01.2010 06:23;69,86 °C;H1;485 l/min
01.01.2010 06:25;54,36 °C;H2;1.241 l/min
01.01.2010 06:27;63,97 °C;H3;1.030 l/min
01.01.2010 06:29;55,95 °C;H3;612 l/min
01.01.2010 06:31;57,88 °C;H2;909 l/min
01.01.2010 06:33;51,92 °C;H1;881 l/min
01.01.2010 06:35;60,65 °C;H2;1.222 l/min
01.01.2010 06:37;56,12 °C;H3;1.149 l/min
01.01.2010 06:39;54,88 °C;H1;977 l/min
01.01.2010 06:41;57,80 °C;H3;834 l/min
01.01.2010 06:43;58,83 °C;H3;634 l/min
01.01.2010 06:45;60,18 °C;H2;1.257 l/min
01.01.2010 06:47;55,13 °C;H1;595 l/min
01.01.2010 06:49;68,27 °C;H2;638 l/min
01.01.2010 06:51;57,41 °C;H2;799 l/min
01.01.2010 06:53;63,69 °C;H2;947 l/min
01.01.2010 06:55;62,70 °C;H1;951 l/min
01.01.2010 06:57;64,06 °C;H2;380 l/min
01.01.2010 06:59;61,43 °C;H2;1.121 l/min
01.01.2010 07:01;51,81 °C;H3;375 l/min
01.01.2010 07:03;69,64 °C;H3;1.095 l/min
01.01.2010 07:05;53,01 °C;H3;691 l/min
01.01.2010 07:07;51,52 °C;H3;914 l/min
01.01.2010 07:09;69,66 °C;H3;936 l/min
01.01.2010 07:11;66,00 °C;H3;984 l/min
01.01.2010 07:13;68,51 °C;H2;422 l/min
01.01.2010 07:15;66,25 °C;H2;897 l/min
01.01.2010 07:17;63,18 °C;H1;395 l/min
01.01.2010 07:19;68,47 °C;H3;811 l/min
01.01.2010 07:21;57,84 °C;H2;479 l/min
01.01.2010 07:23;51,18 °C;H2;1.179 l/min
01.01.2010 07:25;62,92 °C;H3;790 l/min
01.01.2010 07:27;64,94 °C;H1;354 l/min
01.01.2010 07:29;64,57 °C;H3;495 l/min
01.01.2010 07:31;60,97 °C;H1;973 l/min
01.01.2010 07:33;61,88 °C;H1;883 l/min
01.01.2010 07:35;52,84 °C;H1;490 l/min
01.01.2010 07:37;62,00 °C;H1;447 l/min
01.01.2010 07:39;62,39 °C;H2;833 l/min
01.01.2010 07:41;66,49 °C;H1;482 l/min
01.01.2010 07:43;52,60 °C;H3;1.217 l/min
01.01.2010 07:45;65,46 °C;H1;301 l/min
01.01.2010 07:47;65,61 °C;H3;549 l/min
01.01.2010 07:49;57,16 °C;H1;491 l/min
01.01.2010 07:51;63,53 °C;H3;791 l/min
01.01.2010 07:53;66,83 °C;H3;721 l/min
01.01.2010 07:55;65,72 °C;H3;833 l/min
01.01.2010 07:57;52,08 °C;H2;903 l/min
01.01.2010 07:59;66,85 °C;H2;376 l/min
01.01.2010 08:01;62,61 °C;H2;1.294 l/min
01.01.2010 08:03;57,60 °C;H1;1.131 l/min
01.01.2010 08:05;64,65 °C;H1;543 l/min
01.01.2010 08:07;57,41 °C;H1;905 l/min
01.01.2010 08:09;53,28 °C;H2;1.295 l/min
01.01.2010 08:11;66,82 °C;H3;972 l/min
01.01.2010 08:13;65,12 °C;H2;458 l/min
01.01.2010 08:15;54,77 °C;H2;815 l/min
01.01.2010 08:17;59,45 °C;H2;1.074 l/min
01.01.2010 08:19;69,88 °C;H2;1.259 l/min
01.01.2010 08:21;69,77 °C;H1;1.288 l/min
01.01.2010 08:23;57,13 °C;H2;924 l/min
01.01.2010 08:25;59,62 °C;H2;811 l/min
01.01.2010 08:27;69,79 °C;H3;671 l/min
01.01.2010 08:29;53,77 °C;H3;757 l/min
01.01.2010 08:31;60,89 °C;H3;782 l/min
01.01.2010 08:33;62,45 °C;H3;312 l/min
01.01.2010 08:35;61,10 °C;H2;1.080 l/min
01.01.2010 08:37;67,64 °C;H2;1.121 l/min
01.01.2010 08:39;61,42 °C;H2;380 l/min
01.01.2010 08:41;56,37 °C;H3;779 l/min
01.01.2010 08:43;59,73 °C;H2;932 l/min
01.01.2010 08:45;55,46 °C;H1;1.157 l/min
01.01.2010 08:47;60,34 °C;H1;495 l/min
01.01.2010 08:49;65,35 °C;H3;339 l/min
01.01.2010 08:51;66,18 °C;H1;770 l/min
01.01.2010 08:53;58,60 °C;H3;681 l/min
01.01.2010 08:55;68,34 °C;H3;1.172 l/min
01.01.2010 08:57;64,81 °C;H1;883 l/min
01.01.2010 08:59;65,27 °C;H2;1.073 l/min
01.01.2010 09:01;63,95 °C;H2;1.197 l/min
01.01.2010 09:03;62,67 °C;H2;947 l/min
01.01.2010 09:05;58,22 °C;H2;543 l/min
01.01.2010 09:07;60,59 °C;H2;1.079 l/min
01.01.2010 09:09;64,61 °C;H1;1.208 l/min
01.01.2010 09:11;65,50 °C;H3;825 l/min
01.01.2010 09:13;63,85 °C;H3;837 l/min
01.01.2010 09:15;59,84 °C;H2;1.258 l/min
01.01.2010 09:17;60,12 °C;H1;1.045 l/min
01.01.2010 09:19;57,82 °C;H2;324 l/min
01.01.2010 09:21;64,73 °C;H2;1.047 l/min
01.01.2010 09:23;58,84 °C;H2;473 l/min
01.01.2010 09:25;67,04 °C;H2;674 l/min
01.01.2010 09:27;53,01 °C;H2;1.136 l/min
01.01.2010 09:29;64,45 °C;H2;1.143 l/min
01.01.2010 09:31;62,74 °C;H2;839 l/min
01.01.2010 09:33;52,83 °C;H2;484 l/min
01.01.2010 09:35;67,64 °C;H2;847 l/min
01.01.2010 09:37;63,50 °C;H1;419 l/min
01.01.2010 09:39;58,70 °C;H1;1.092 l/min
01.01.2010 09:41;68,44 °C;H2;1.043 l/min
01.01.2010 09:43;53,58 °C;H2;434 l/min
01.01.2010 09:45;60,74 °C;H2;939 l/min
01.01.2010 09:47;60,63 °C;H3;1.298 l/min
01.01.2010 09:49;67,96 °C;H2;1.079 l/min
01.01.2010 09:51;57,34 °C;H2;303 l/min
01.01.2010 09:53;60,92 °C;H3;1.098 l/min
01.01.2010 09:55;55,21 °C;H3;643 l/min
01.01.2010 09:57;52,02 °C;H3;695 l/min
01.01.2010 09:59;54,06 °C;H2;890 l/min
01.01.2010 10:01;53,87 °C;H1;1.156 l/min
01.01.2010 10:03;59,89 °C;H3;942 l/min
01.01.2010 10:05;66,20 °C;H3;662 l/min
01.01.2010 10:07;59,32 °C;H2;525 l/min
01.01.2010 10:09;52,56 °C;H3;923 l/min
01.01.2010 10:11;56,36 °C;H3;1.139 l/min
01.01.2010 10:13;58,34 °C;H1;1.197 l/min
01.01.2010 10:15;64,93 °C;H3;526 l/min
01.01.2010 10:17;64,02 °C;H1;605 l/min
01.01.2010 10:19;54,78 °C;H1;529 l/min
01.01.2010 10:21;65,90 °C;H3;714 l/min
01.01.2010 10:23;67,37 °C;H2;322 l/min
01.01.2010 10:25;55,99 °C;H1;318 l/min
01.01.2010 10:27;62,65 °C;H3;603 l/min
01.01.2010 10:29;56,78 °C;H1;1.084 l/min
01.01.2010 10:31;65,27 °C;H1;992 l/min
01.01.2010 10:33;56,98 °C;H1;803 l/min
01.01.2010 10:35;64,73 °C;H1;595 l/min
01.01.2010 10:37;62,76 °C;H2;925 l/min
01.01.2010 10:39;58,02 °C;H1;999 l/min
01.01.2010 10:41;56,51 °C;H2;1.048 l/min
01.01.2010 10:43;66,41 °C;H1;644 l/min
01.01.2010 10:45;62,19 °C;H1;757 l/min
01.01.2010 10:47;54,55 °C;H2;786 l/min
01.01.2010 10:49;53,96 °C;H3;1.275 l/min
01.01.2010 10:51;54,61 °C;H1;1.048 l/min
01.01.2010 10:53;65,41 °C;H3;462 l/min
01.01.2010 10:55;66,53 °C;H1;436 l/min
01.01.2010 10:57;67,12 °C;H2;903 l/min
01.01.2010 10:59;53,47 °C;H3;672 l/min
01.01.2010 11:01;58,13 °C;H3;1.063 l/min
01.01.2010 11:03;66,01 °C;H3;993 l/min
01.01.2010 11:05;63,68 °C;H2;763 l/min
01.01.2010 11:07;59,32 °C;H1;1.040 l/min
01.01.2010 11:09;69,96 °C;H2;436 l/min
01.01.2010 11:11;56,71 °C;H2;1.216 l/min
01.01.2010 11:13;65,79 °C;H1;505 l/min
01.01.2010 11:15;58,46 °C;H2;606 l/min
01.01.2010 11:17;55,16 °C;H1;905 l/min
01.01.2010 11:19;63,29 °C;H2;356 l/min
01.01.2010 11:21;60,61 °C;H3;527 l/min
01.01.2010 11:23;62,09 °C;H2;871 l/min
01.01.2010 11:25;67,34 °C;H2;723 l/min
01.01.2010 11:27;53,51 °C;H2;1.083 l/min
01.01.2010 11:29;57,91 °C;H3;1.085 l/min
01.01.2010 11:31;65,87 °C;H1;697 l/min
01.01.2010 11:33;64,99 °C;H3;648 l/min
01.01.2010 11:35;67,15 °C;H1;311 l/min
01.01.2010 11:37;63,50 °C;H2;367 l/min
01.01.2010 11:39;54,88 °C;H2;488 l/min
01.01.2010 11:41;50,99 °C;H3;471 l/min
01.01.2010 11:43;65,21 °C;H1;1.140 l/min
01.01.2010 11:45;60,86 °C;H2;837 l/min
01.01.2010 11:47;60,06 °C;H2;1.145 l/min
01.01.2010 11:49;55,28 °C;H2;1.169 l/min
01.01.2010 11:51;68,77 °C;H2;824 l/min
01.01.2010 11:53;64,83 °C;H1;956 l/min
01.01.2010 11:55;66,78 °C;H2;1.108 l/min
01.01.2010 11:57;61,46 °C;H2;1.015 l/min
01.01.2010 11:59;52,30 °C;H1;399 l/min
01.01.2010 12:01;63,61 °C;H1;1.283 l/min
01.01.2010 12:03;51,07 °C;H1;684 l/min
01.01.2010 12:05;60,92 °C;H1;897 l/min
01.01.2010 12:07;51,31 °C;H1;631 l/min
01.01.2010 12:09;59,19 °C;H2;679 l/min
01.01.2010 12:11;60,58 °C;H2;908 l/min
01.01.2010 12:13;50,83 °C;H1;978 l/min
01.01.2010 12:15;54,53 °C;H1;407 l/min
01.01.2010 12:17;65,34 °C;H1;455 l/min
01.01.2010 12:19;59,64 °C;H1;1.105 l/min
01.01.2010 12:21;59,90 °C;H2;358 l/min
01.01.2010 12:23;59,53 °C;H3;400 l/min
01.01.2010 12:25;54,52 °C;H1;992 l/min
01.01.2010 12:27;62,63 °C;H2;1.056 l/min
01.01.2010 12:29;50,71 °C;H3;1.024 l/min
01.01.2010 12:31;64,68 °C;H3;715 l/min
01.01.2010 12:33;61,86 °C;H3;1.065 l/min
01.01.2010 12:35;63,78 °C;H2;903 l/min
01.01.2010 12:37;65,00 °C;H1;1.036 l/min
01.01.2010 12:39;67,24 °C;H3;965 l/min
01.01.2010 12:41;52,13 °C;H2;484 l/min
01.01.2010 12:43;65,09 °C;H2;545 l/min
01.01.2010 12:45;60,77 °C;H3;1.108 l/min
01.01.2010 12:47;53,76 °C;H3;892 l/min
01.01.2010 12:49;66,87 °C;H3;1.150 l/min
01.01.2010 12:51;68,48 °C;H1;1.022 l/min
01.01.2010 12:53;66,22 °C;H2;698 l/min
01.01.2010 12:55;56,90 °C;H3;1.063 l/min
01.01.2010 12:57;58,74 °C;H2;692 l/min
01.01.2010 12:59;59,02 °C;H1;1.265 l/min
01.01.2010 13:01;59,20 °C;H1;557 l/min
01.01.2010 13:03;63,62 °C;H1;1.100 l/min
01.01.2010 13:05;64,58 °C;H3;609 l/min
01.01.2010 13:07;69,95 °C;H2;918 l/min
01.01.2010 13:09;62,65 °C;H3;1.102 l/min
01.01.2010 13:11;57,10 °C;H3;918 l/min
01.01.2010 13:13;59,24 °C;H2;735 l/min
01.01.2010 13:15;61,95 °C;H2;1.143 l/min
01.01.2010 13:17;59,06 °C;H1;949 l/min
01.01.2010 13:19;64,32 °C;H3;1.099 l/min
01.01.2010 13:21;58,13 °C;H3;342 l/min
01.01.2010 13:23;50,55 °C;H1;843 l/min
01.01.2010 13:25;64,81 °C;H3;916 l/min
01.01.2010 13:27;53,46 °C;H3;426 l/min
01.01.2010 13:29;60,91 °C;H1;895 l/min
01.01.2010 13:31;64,37 °C;H3;782 l/min
01.01.2010 13:33;68,48 °C;H3;777 l/min
01.01.2010 13:35;54,06 °C;H2;1.106 l/min
01.01.2010 13:37;67,63 °C;H2;908 l/min
01.01.2010 13:39;58,30 °C;H3;789 l/min
01.01.2010 13:41;69,83 °C;H1;1.117 l/min
01.01.2010 13:43;62,58 °C;H2;1.236 l/min
01.01.2010 13:45;52,80 °C;H3;697 l/min
01.01.2010 13:47;55,77 °C;H2;834 l/min
01.01.2010 13:49;51,55 °C;H3;1.044 l/min
01.01.2010 13:51;61,80 °C;H2;549 l/min
01.01.2010 13:53;61,66 °C;H2;706 l/min
01.01.2010 13:55;57,95 °C;H2;998 l/min
01.01.2010 13:57;50,15 °C;H3;607 l/min
01.01.2010 13:59;55,21 °C;H2;1.150 l/min
01.01.2010 14:01;63,32 °C;H2;641 l/min
01.01.2010 14:03;69,55 °C;H3;959 l/min
01.01.2010 14:05;68,89 °C;H3;1.105 l/min
01.01.2010 14:07;59,25 °C;H2;484 l/min
01.01.2010 14:09;63,27 °C;H1;900 l/min
01.01.2010 14:11;62,43 °C;H2;429 l/min
01.01.2010 14:13;68,73 °C;H3;410 l/min
01.01.2010 14:15;56,12 °C;H2;589 l/min
01.01.2010 14:17;53,77 °C;H1;658 l/min
01.01.2010 14:19;64,03 °C;H3;1.278 l/min
01.01.2010 14:21;64,51 °C;H3;922 l/min
01.01.2010 14:23;52,04 °C;H2;423 l/min
01.01.2010 14:25;61,42 °C;H2;791 l/min
01.01.2010 14:27;51,22 °C;H2;867 l/min
01.01.2010 14:29;53,15 °C;H1;512 l/min
01.01.2010 14:31;68,61 °C;H2;1.199 l/min
01.01.2010 14:33;51,73 °C;H1;604 l/min
01.01.2010 14:35;60,62 °C;H2;1.006 l/min
01.01.2010 14:37;68,15 °C;H2;706 l/min
01.01.2010 14:39;65,28 °C;H2;1.083 l/min
01.01.2010 14:41;55,95 °C;H1;1.297 l/min
01.01.2010 14:43;59,07 °C;H2;621 l/min
01.01.2010 14:45;65,40 °C;H2;338 l/min
01.01.2010 14:47;60,17 °C;H2;502 l/min
01.01.2010 14:49;69,38 °C;H2;1.206 l/min
01.01.2010 14:51;69,40 °C;H2;579 l/min
01.01.2010 14:53;53,97 °C;H2;890 l/min
01.01.2010 14:55;51,04 °C;H3;1.026 l/min
01.01.2010 14:57;55,64 °C;H2;690 l/min
01.01.2010 14:59;68,58 °C;H1;1.094 l/min
01.01.2010 15:01;61,52 °C;H2;383 l/min
01.01.2010 15:03;60,19 °C;H1;459 l/min
01.01.2010 15:05;55,03 °C;H2;739 l/min
01.01.2010 15:07;64,32 °C;H2;1.034 l/min
01.01.2010 15:09;53,64 °C;H2;1.134 l/min
01.01.2010 15:11;52,65 °C;H1;866 l/min
01.01.2010 15:13;57,21 °C;H3;623 l/min
01.01.2010 15:15;60,25 °C;H1;527 l/min
01.01.2010 15:17;59,34 °C;H2;674 l/min
01.01.2010 15:19;62,06 °C;H1;365 l/min
01.01.2010 15:21;64,62 °C;H2;902 l/min
01.01.2010 15:23;67,38 °C;H3;1.278 l/min
01.01.2010 15:25;63,42 °C;H3;625 l/min
01.01.2010 15:27;68,17 °C;H1;490 l/min
01.01.2010 15:29;66,95 °C;H1;1.151 l/min
01.01.2010 15:31;62,36 °C;H2;1.040 l/min
01.01.2010 15:33;60,35 °C;H3;355 l/min
01.01.2010 15:35;62,08 °C;H3;821 l/min
01.01.2010 15:37;56,49 °C;H1;1.123 l/min
01.01.2010 15:39;66,87 °C;H1;393 l/min
01.01.2010 15:41;64,38 °C;H1;1.047 l/min
01.01.2010 15:43;66,86 °C;H3;1.268 l/min
01.01.2010 15:45;62,43 °C;H2;1.134 l/min
01.01.2010 15:47;67,20 °C;H1;404 l/min
01.01.2010 15:49;61,18 °C;H1;584 l/min
01.01.2010 15:51;60,45 °C;H1;839 l/min
01.01.2010 15:53;52,81 °C;H2;759 l/min
01.01.2010 15:55;55,18 °C;H3;1.055 l/min
01.01.2010 15:57;69,82 °C;H3;320 l/min
01.01.2010 15:59;64,37 °C;H3;840 l/min
01.01.2010 16:01;58,71 °C;H2;1.171 l/min
01.01.2010 16:03;61,64 °C;H2;1.044 l/min
01.01.2010 16:05;56,59 °C;H2;1.298 l/min
01.01.2010 16:07;62,43 °C;H2;685 l/min
01.01.2010 16:09;56,56 °C;H2;777 l/min
01.01.2010 16:11;52,68 °C;H2;1.288 l/min
01.01.2010 16:13;61,70 °C;H1;539 l/min
01.01.2010 16:15;64,31 °C;H2;530 l/min
01.01.2010 16:17;69,82 °C;H2;1.250 l/min
01.01.2010 16:19;59,45 °C;H3;913 l/min
01.01.2010 16:21;54,48 °C;H3;1.100 l/min
01.01.2010 16:23;62,52 °C;H2;1.051 l/min
01.01.2010 16:25;51,21 °C;H3;1.186 l/min
01.01.2010 16:27;52,81 °C;H1;979 l/min
01.01.2010 16:29;52,08 °C;H1;959 l/min
01.01.2010 16:31;57,90 °C;H3;949 l/min
01.01.2010 16:33;60,14 °C;H3;868 l/min
01.01.2010 16:35;54,59 °C;H3;923 l/min
01.01.2010 16:37;64,15 °C;H1;341 l/min
01.01.2010 16:39;56,35 °C;H3;547 l/min
01.01.2010 16:41;60,76 °C;H2;1.257 l/min
01.01.2010 16:43;51,49 °C;H2;763 l/min
01.01.2010 16:45;62,23 °C;H2;466 l/min
